city,year,month,t2m,t2m_max,t2m_min,prec_acum
Puerto Ayacucho,1994,6,24.55,29.08,21.12,432.42
Puerto Ayacucho,1994,7,24.37,29.57,20.38,358.59
Puerto Ayacucho,1994,8,24.46,29.64,21.01,453.52
Puerto Ayacucho,1994,9,25.22,30.08,21.49,247.85
Puerto Ayacucho,1994,10,25.28,30.01,20.86,189.84
Puerto Ayacucho,1994,11,25.43,30.83,21.62,152.93
Puerto Ayacucho,1994,12,25.48,30.01,20.42,94.92
Puerto Ayacucho,1995,1,24.62,30.06,17.9,58.01
Puerto Ayacucho,1995,2,27.55,36.5,20.26,0.0
Puerto Ayacucho,1995,3,28.27,39.23,21.9,63.28
Puerto Ayacucho,1995,4,27.8,38.58,21.99,195.12
Puerto Ayacucho,1995,5,25.36,31.65,21.48,395.51
Puerto Ayacucho,1995,6,24.64,29.52,21.63,495.7
Puerto Ayacucho,1995,7,24.66,29.26,20.63,390.23
Puerto Ayacucho,1995,8,25.4,30.33,21.32,321.68
Puerto Ayacucho,1995,9,25.69,30.53,21.98,242.58
Puerto Ayacucho,1995,10,25.74,30.88,21.88,126.56
Puerto Ayacucho,1995,11,25.1,30.04,20.33,142.38
Puerto Ayacucho,1995,12,24.99,29.52,19.4,63.28
Puerto Ayacucho,1996,1,25.03,30.4,19.9,31.64
Puerto Ayacucho,1996,2,25.69,32.93,20.3,68.55
Puerto Ayacucho,1996,3,27.48,37.3,20.54,79.1
Puerto Ayacucho,1996,4,26.6,35.3,20.58,179.3
Puerto Ayacucho,1996,5,25.06,30.2,21.57,332.23
Puerto Ayacucho,1996,6,24.54,28.9,21.12,553.71
Puerto Ayacucho,1996,7,24.01,28.36,20.54,490.43
Puerto Ayacucho,1996,8,24.65,29.66,21.32,369.14
Puerto Ayacucho,1996,9,25.15,30.83,21.65,305.86
Puerto Ayacucho,1996,10,25.48,30.42,21.69,279.49
Puerto Ayacucho,1996,11,25.17,29.98,21.33,163.48
Puerto Ayacucho,1996,12,25.13,29.94,21.37,121.29
Puerto Ayacucho,1997,1,24.99,29.99,19.8,0.0
Puerto Ayacucho,1997,2,25.72,32.76,21.6,21.09
